word,standard
DOBRY,1
DO REMONTU,0
DO ADAPTACJI,0
wysoki standard,1
BARDZO WYSOKI STANDARD,1
idealny,1
WYSOKI STANDARD,1
DO WYKOŃCZENIA,0
bardzo dobry,1
do odświeżenia,0
do remontu,0
do częściowego remontu,0
Do remontu,0
do wykończenia,0
DO ODŚWIEŻENIA,0
Bardzo dobry,1
Dobry,1
Do częściowego remontu,0
Idealny,1
dobry,1
DO REMONTU KAPIT.,0
Do odświeżenia,0
do zamieszkania,1
Do remontu kapitalnego,0
deweloperski,0
Do wprowadzenia,1
do odnowienia,0
Stan deweloperski,0
do wykończenia / surowy dewelop.,0
do wprowadzenia,1
Do wykończenia,0
Deweloperski,0
Do generalnego remontu,0
Normalny,1
komfortowy,1
po odświeżeniu,1
Podwyższony,1
Wysoki standard,1
Po remoncie,1
Świeżo po remoncie,1
Do odnowienia,0
Do zamieszkania,1
do remontu drobnego,0
po generalnym remoncie,1
częściowo po remoncie,0
nowe do wykończenia,0
luksusowy,1
Stan surowy zamknięty,0
Podwyższony standard,1
do adaptacji,0
średni,0
bez białego montażu,0
po remoncie,1
Wymaga dopasowania,0
SUROWY ZAMKNIĘTY,0
stan deweloperski,0
Odnowiony,0
surowy zamknięty,0
Do adaptacji,0
mieszkania wykończone,1
do remontu kapitalnego,0
Luksusowy,1
nowy,1
do generalnego remontu,0
wysoki,1
wykończony,1
developerski,0
odnowione,1
BARDZO DOBRY,1
idealne,1
wymaga remontu drobnego,0
wymaga remontu kapitalnego,0
Do renowacji,0
do kapitalnego remontu,0
do remontu i własnej aranżacji,0
do malowania,0
IDEALNY,1
W budowie,0
Surowe,0
po częściowym remoncie,0
do remontu generalnego,0
ready_to_use,1
to_renovation,0
to_completion,0
